[2024-12-03 11:05:07,210] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:07] "GET /static/js/hosts.js HTTP/1.1" 200 -
[2024-12-03 11:05:07,228] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:07] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:05:07,288] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:07] "GET /api/hosts HTTP/1.1" 200 -
[2024-12-03 11:05:08,729] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:08] "GET /api/hosts/dev_ai HTTP/1.1" 200 -
[2024-12-03 11:05:25,041] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:25] "[35m[1mPUT /api/hosts/dev_ai HTTP/1.1[0m" 500 -
[2024-12-03 11:05:32,608] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:32] "[35m[1mPUT /api/hosts/dev_ai HTTP/1.1[0m" 500 -
[2024-12-03 11:08:21,551] INFO in _internal:  * Detected change in '/Users/jesse/work/project/SuperNova/app/routes/api.py', reloading
[2024-12-03 11:08:21,590] INFO in _internal:  * Restarting with stat
[2024-12-03 11:08:21,819] WARNING in _internal:  * Debugger is active!
[2024-12-03 11:08:21,825] INFO in _internal:  * Debugger PIN: 287-585-076
[2024-12-03 11:08:31,064] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.1.1.143:5000
[2024-12-03 11:08:31,064] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-03 11:08:31,065] INFO in _internal:  * Restarting with stat
[2024-12-03 11:08:31,205] WARNING in _internal:  * Debugger is active!
[2024-12-03 11:08:31,211] INFO in _internal:  * Debugger PIN: 287-585-076
[2024-12-03 11:08:36,170] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /services HTTP/1.1" 200 -
[2024-12-03 11:08:36,457] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 11:08:36,467] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 11:08:36,468] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 11:08:36,496] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
[2024-12-03 11:08:36,496] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 11:08:36,500] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:08:36,512] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /static/js/services.js HTTP/1.1" 200 -
[2024-12-03 11:08:36,512] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:08:36,638] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:36] "GET /api/processes?host_id=dev_ai HTTP/1.1" 200 -
[2024-12-03 11:08:55,638] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /hosts HTTP/1.1" 200 -
[2024-12-03 11:08:55,865] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 11:08:55,865] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 11:08:55,870] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 11:08:55,908] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 11:08:55,912] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:08:55,913] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
[2024-12-03 11:08:55,926] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:08:55,928] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /static/js/hosts.js HTTP/1.1" 200 -
[2024-12-03 11:08:55,998] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:55] "GET /api/hosts HTTP/1.1" 200 -
[2024-12-03 11:08:57,305] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:57] "GET /logs HTTP/1.1" 200 -
[2024-12-03 11:08:57,529] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:57] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 11:08:57,531] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:57] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 11:08:57,535] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:57] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 11:08:57,557] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:57] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 11:08:57,560] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:08:57] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
